ANT2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C2:1
C3:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:1
C50:1
C51:1
C52:1
C6:1
C7:1
C8:1
C9:1
D2:1
D4:1
D5:1
J1:1
J2:1
J3:1
J6:1
L1:1
L2:1
L3:1
MK1:1
MK2:1
R1:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R30:1
R31:1
R32:1
R35:1
R36:1
R4:1
R5:1
R6:1
TP2:1
TP7:1
TP8:1
U2:1
U5:1
